burst_size_DIP,replicate_id,seed,peak_IFN,t_peak_IFN,scenario
710,2,-1,0.301974,205,baseline
710,2,-1,0.345159,96,baseline
710,2,-1,0.330483,166,baseline
710,2,-1,0.294313,111,baseline
710,2,-1,0.364578,155,baseline
710,2,-1,0.275722,119,baseline
710,2,-1,0.257797,161,baseline
710,2,-1,0.312028,121,baseline
710,2,-1,0.297073,124,baseline
710,2,-1,0.316722,96,baseline
710,2,-1,0.277804,104,baseline
710,2,-1,0.317089,81,baseline
710,2,-1,0.331395,92,baseline
710,2,-1,0.282932,126,baseline
710,2,-1,0.26933,106,baseline
710,2,-1,0.248138,116,baseline
710,2,-1,0.27258,114,baseline
710,2,-1,0.277761,107,baseline
710,2,-1,0.320034,108,baseline
710,2,-1,0.277291,100,baseline
710,2,-1,0.295428,144,baseline
710,2,-1,0.242761,131,baseline
710,2,-1,0.308216,144,baseline
710,2,-1,0.252646,103,baseline
710,2,-1,0.273315,123,baseline
715,2,-1,0.286418,187,baseline
715,2,-1,0.269252,128,baseline
715,2,-1,0.249569,213,baseline
715,2,-1,0.283791,123,baseline
715,2,-1,0.299079,132,baseline
715,2,-1,0.242989,92,baseline
715,2,-1,0.340483,124,baseline
715,2,-1,0.309229,121,baseline
715,2,-1,0.373906,103,baseline
715,2,-1,0.268708,114,baseline
715,2,-1,0.315855,107,baseline
715,2,-1,0.329242,131,baseline
715,2,-1,0.236959,115,baseline
715,2,-1,0.287846,90,baseline
715,2,-1,0.309623,110,baseline
715,2,-1,0.319929,185,baseline
715,2,-1,0.259534,231,baseline
715,2,-1,0.286377,195,baseline
715,2,-1,0.32297,137,baseline
715,2,-1,0.266528,106,baseline
715,2,-1,0.238348,140,baseline
715,2,-1,0.312679,139,baseline
715,2,-1,0.273712,97,baseline
715,2,-1,0.32026,111,baseline
715,2,-1,0.349224,115,baseline
715,2,-1,0.24625,94,baseline
715,2,-1,0.29115,104,baseline
715,2,-1,0.343664,89,baseline
715,2,-1,0.303734,114,baseline
715,2,-1,0.271662,139,baseline
720,2,-1,0.300082,127,baseline
720,2,-1,0.263828,108,baseline
720,2,-1,0.264228,150,baseline
720,2,-1,0.333526,105,baseline
720,2,-1,0.255904,109,baseline
720,2,-1,0.239701,107,baseline
720,2,-1,0.282239,202,baseline
720,2,-1,0.287054,142,baseline
720,2,-1,0.283963,92,baseline
720,2,-1,0.34446,91,baseline
720,2,-1,0.440391,122,baseline
720,2,-1,0.292001,91,baseline
720,2,-1,0.447701,112,baseline
720,2,-1,0.324167,83,baseline
720,2,-1,0.263841,112,baseline
720,2,-1,0.272368,210,baseline
720,2,-1,0.315106,120,baseline
720,2,-1,0.336752,128,baseline
720,2,-1,0.244235,108,baseline
720,2,-1,0.271566,198,baseline
720,2,-1,0.304628,81,baseline
720,2,-1,0.351698,135,baseline
720,2,-1,0.289366,115,baseline
720,2,-1,0.267514,140,baseline
720,2,-1,0.309687,143,baseline
720,2,-1,0.342243,87,baseline
720,2,-1,0.345377,118,baseline
720,2,-1,0.254863,152,baseline
720,2,-1,0.297707,107,baseline
720,2,-1,0.279598,105,baseline
750,2,-1,0.392934,97,baseline
750,2,-1,0.231519,154,baseline
750,2,-1,0.273648,113,baseline
750,2,-1,0.330326,100,baseline
750,2,-1,0.324726,105,baseline
750,2,-1,0.277132,126,baseline
750,2,-1,0.332297,108,baseline
750,2,-1,0.317209,100,baseline
750,2,-1,0.31598,227,baseline
750,2,-1,0.341302,98,baseline
750,2,-1,0.299039,123,baseline
750,2,-1,0.340546,100,baseline
750,2,-1,0.300988,159,baseline
750,2,-1,0.241597,134,baseline
750,2,-1,0.285861,98,baseline
750,2,-1,0.318144,105,baseline
750,2,-1,0.308051,140,baseline
750,2,-1,0.373293,151,baseline
750,2,-1,0.330081,96,baseline
750,2,-1,0.274712,103,baseline
750,2,-1,0.265646,131,baseline
750,2,-1,0.350791,130,baseline
750,2,-1,0.297987,123,baseline
750,2,-1,0.317253,103,baseline
750,2,-1,0.316605,148,baseline
750,2,-1,0.311824,91,baseline
750,2,-1,0.246832,129,baseline
750,2,-1,0.322622,107,baseline
750,2,-1,0.292305,94,baseline
750,2,-1,0.303175,158,baseline
800,1,-1,0.341043,105,baseline
800,1,-1,0.33696,90,baseline
800,1,-1,0.266934,181,baseline
800,1,-1,0.301029,96,baseline
800,1,-1,0.347728,143,baseline
800,1,-1,0.363072,117,baseline
800,1,-1,0.376072,96,baseline
800,1,-1,0.257632,107,baseline
800,1,-1,0.269448,161,baseline
800,1,-1,0.30741,153,baseline
800,1,-1,0.200792,118,baseline
800,1,-1,0.340865,175,baseline
800,1,-1,0.275352,85,baseline
800,1,-1,0.233512,119,baseline
800,1,-1,0.237768,184,baseline
800,1,-1,0.24275,114,baseline
800,1,-1,0.314763,164,baseline
800,1,-1,0.25094,96,baseline
800,1,-1,0.31205,168,baseline
800,1,-1,0.301584,140,baseline
800,1,-1,0.27843,109,baseline
800,1,-1,0.33809,86,baseline
800,1,-1,0.288622,108,baseline
800,1,-1,0.376582,118,baseline
800,1,-1,0.283508,186,baseline
800,1,-1,0.276879,92,baseline
800,1,-1,0.311496,127,baseline
800,1,-1,0.240877,98,baseline
800,1,-1,0.261743,123,baseline
800,1,-1,0.256982,100,baseline
900,1,-1,0.271535,119,baseline
900,1,-1,0.290855,115,baseline
900,1,-1,0.269087,108,baseline
900,1,-1,0.254547,99,baseline
900,1,-1,0.254087,88,baseline
900,1,-1,0.273836,219,baseline
900,1,-1,0.237181,190,baseline
900,1,-1,0.286937,105,baseline
900,1,-1,0.30458,131,baseline
900,1,-1,0.227751,128,baseline
900,1,-1,0.291511,176,baseline
900,1,-1,0.279268,104,baseline
900,1,-1,0.270466,269,baseline
900,1,-1,0.291462,86,baseline
900,1,-1,0.376218,98,baseline
900,1,-1,0.240756,151,baseline
900,1,-1,0.274674,181,baseline
900,1,-1,0.259687,140,baseline
900,1,-1,0.310283,76,baseline
900,1,-1,0.338545,130,baseline
900,1,-1,0.319172,136,baseline
900,1,-1,0.263494,112,baseline
900,1,-1,0.303875,104,baseline
900,1,-1,0.232274,102,baseline
900,1,-1,0.250558,109,baseline
900,1,-1,0.239051,82,baseline
900,1,-1,0.320056,248,baseline
900,1,-1,0.316445,101,baseline
900,1,-1,0.26015,173,baseline
900,1,-1,0.34219,134,baseline
1000,1,-1,0.295485,238,baseline
1000,1,-1,0.288001,86,baseline
